K = 2, L = 2 70.20648967551622
K = 3, L = 2 69.02654867256636
K = 3, L = 3 70.20648967551622
K = 4, L = 2 71.09144542772862
K = 4, L = 3 71.976401179941
K = 4, L = 4 71.38643067846607
K = 5, L = 2 70.79646017699115
K = 5, L = 3 72.86135693215338
K = 5, L = 4 71.976401179941
K = 5, L = 5 71.38643067846607
K = 6, L = 2 71.09144542772862
K = 6, L = 3 71.38643067846607
K= 6, L = 4 74.63126843657817
K= 6, L = 5 74.33628318584071
K= 6, L = 6 73.45132743362832
K= 7, L = 2 71.38643067846607
K= 7, L = 3 73.45132743362832
K= 7, L = 4 74.04129793510324
K= 7, L = 5 71.38643067846607
K= 7, L = 6 76.10619469026548
K= 7, L = 7 74.92625368731564
K = 8, L = 2 69.91150442477876
K = 8, L = 3 71.38643067846607
K = 8, L = 4 73.45132743362832
K = 8, L = 5 74.63126843657817
K = 8, L = 6 75.81120943952803
K = 8, L = 7 74.92625368731564
K = 8, L = 8 77.87610619469027
K = 9, L = 2 69.32153392330383
K = 9, L = 3 71.09144542772862
K = 9, L = 4 70.50147492625368
K = 9, L = 5 76.99115044247787
K = 9, L = 6 76.99115044247787
K = 9, L = 7 77.5811209439528
K = 9, L = 8 78.17109144542773
K = 9, L = 9 79.05604719764013
K = 10, L = 2 70.79646017699115
K = 10, L = 3 72.86135693215338
K = 10, L = 4 74.33628318584071
K = 10, L = 5 74.63126843657817
K = 10, L = 6 76.40117994100295
K = 10, L = 7 77.5811209439528
K = 10, L = 8 77.87610619469027
K = 10, L = 9 78.76106194690266
K = 10, L = 10 79.35103244837758
K = 11, L = 2 72.27138643067846
K = 11, L = 3 74.63126843657817
K = 11, L = 4 74.04129793510324
K = 11, L = 5 75.51622418879056
K = 11, L = 6 77.87610619469027
K = 11, L = 7 76.99115044247787
K = 11, L = 8 78.46607669616519
K = 11, L = 9 76.99115044247787
K = 11, L = 10 79.35103244837758
K = 11, L = 11 78.17109144542773
K= 12, L = 2 70.20648967551622
K= 12, L = 3 72.86135693215338
K= 12, L = 4 73.15634218289085
K= 12, L = 5 74.92625368731564
K= 12, L = 6 76.99115044247787
K= 12, L = 7 78.46607669616519
K= 12, L = 8 78.17109144542773
K= 12, L = 9 77.87610619469027
K= 12, L = 10 78.17109144542773
K= 12, L = 11 78.46607669616519
K= 12, L = 12 77.87610619469027
K= 13, L = 2 71.09144542772862
K= 13, L = 3 73.74631268436578
K= 13, L = 4 76.40117994100295
K= 13, L = 5 76.40117994100295
K= 13, L = 6 77.87610619469027
K= 13, L = 7 76.69616519174042
K= 13, L = 8 78.17109144542773
K= 13, L = 9 77.28613569321534
K= 13, L = 10 77.87610619469027
K= 13, L = 11 77.87610619469027
K= 13, L = 12 77.87610619469027
K= 13, L = 13 78.46607669616519
K= 14, L = 2 71.68141592920354
K= 14, L = 3 71.976401179941
K= 14, L = 4 73.74631268436578
K= 14, L = 5 75.51622418879056
K= 14, L = 6 76.69616519174042
K= 14, L = 7 76.40117994100295
K= 14, L = 8 78.17109144542773
K= 14, L = 9 77.28613569321534
K= 14, L = 10 78.17109144542773
K= 14, L = 11 78.76106194690266
K= 14, L = 12 79.35103244837758
K= 14, L = 13 78.76106194690266
K= 14, L = 14 78.46607669616519
K= 15, L = 2 71.976401179941
K= 15, L = 3 71.976401179941
K= 15, L = 4 75.22123893805309
K= 15, L = 5 75.22123893805309
K= 15, L = 6 74.33628318584071
K= 15, L = 7 76.99115044247787
K= 15, L = 8 79.05604719764013
K= 15, L = 9 77.5811209439528
K= 15, L = 10 78.46607669616519
K= 15, L = 11 79.35103244837758
K= 15, L = 12 80.23598820058997
K= 15, L = 13 79.05604719764013
K= 15, L = 14 79.05604719764013
K= 15, L = 15 79.35103244837758
